,,,,
,,,,
#,Pillar & Indicator,🔥 Hot Button,Smart Closing Prompt,Example Prospect Language
1,Pain Awareness,✓,"""You’ve been clear on what’s not working. What happens if it stays like this another 6 months?""",“I’m just done with how it’s been.”
2,Desire Clarity,✓,“Sounds like you see a real possibility. Why now?”,“I can actually picture the life I want.”
3,Desire Priority,✓,“You said this ranks high. What makes it so important today?”,“This is top of my list now.”
4,Duration of Dissatisfaction,✓,“You’ve lived with this for a while — what shifted now?”,"“It’s been years, I just didn’t act before.”"
5,Time Pressure,✓,“There’s a real window here. What happens if you miss it?”,“Our lease ends next month.”
6,Cost of Delay,✓,“What do you lose every month this stays unsolved?”,“It’s costing me peace and time.”
7,Internal Timing Activation,✓,“What changed that made this the moment?”,“I woke up and realized I can’t do this anymore.”
8,Environmental Availability,,“Does your current life have the space to support this right now?”,"“Honestly, I’m slammed with other stuff.”"
9,Decision-Making Authority,,"“Before we go deeper, are you the final decision-maker here?”",“I’ll need to check with my partner.”
10,Decision-Making Style,,“How do you usually decide on big things like this?”,“I usually wait until I’m 100% sure.”
11,Commitment to Decide,✓,“You mentioned wanting to decide today — is anything still unclear?”,"“I’m ready, just want to be sure.”"
12,Self-Permission to Choose,✓,“What would it feel like to choose progress over perfection?”,“I usually overthink but I want to trust myself.”
13,Resource Access,,"“If you chose to move forward, would money be available right now?”","“Not yet, but maybe in a few months.”"
14,Resource Fluidity,,“Would it be easy to reallocate or move funds for this?”,“Most of our budget is tied up.”
15,Investment Mindset,✓,"“Sounds like you see this as an investment, not a cost — is that true?”","“If it solves the problem, it’s worth it.”"
16,Resourcefulness,✓,"“When something matters, do you usually find a way?”",“I’ve always figured it out when I really want it.”
17,Problem Recognition,✓,“Sounds like you see how you’ve played a role — is that empowering or scary?”,"“Yeah, I know I’ve avoided this.”"
18,Solution Ownership,✓,"“You’re not waiting for someone to fix this for you, are you?”",“It’s on me to change this.”
19,Locus of Control,✓,“Do you feel in control of the outcome if you commit?”,“Yes — I know it’s up to me.”
20,Integrity: Desire vs Action,✓,“You’ve wanted this a while — are you ready to act in alignment now?”,“I can’t keep saying I want it but doing nothing.”
21,Emotional Response to Spending,,“What’s your emotional reaction to investing here?”,"“Honestly, it makes me nervous.”"
22,Negotiation Reflex,,“Is this a values fit — or are you trying to negotiate safety?”,“Can you drop the price a bit?”
23,Structural Rigidity,,“Does the structure actually stop you — or is it something else?”,“I don’t like fixed terms.”
24,ROI Ownership Framing,✓,“If you show up fully — how do you expect this to pay off?”,"“If I follow through, this will be worth 10x.”"
25,External Trust,✓,“From what you’ve seen — does this feel like a trustworthy offer?”,“I’ve followed your brand for a while.”
26,Internal Trust,✓,“Do you trust yourself to actually follow through?”,“I’m scared I’ll let myself down again.”
27,Risk Tolerance,✓,“What’s more risky — doing this or staying the same?”,“I’ve played it safe and stayed stuck for years.”
